,column,correlation,p_value,cohens_d,group0_mean,group1_mean,group0_size,group1_size,message
81,ci_000,0.5705018725568419,0.0,5.219722820158525,2865063.5121490844,39073909.97857667,74213,1363,Success
60,bb_000,0.5571549420285925,0.0,5.102757886816812,3756340.088224542,50829979.89266818,73857,1323,Success
72,bv_000,0.5560135742009339,0.0,5.089371681313044,3749243.244125857,50622222.05904618,73798,1321,Success
71,bu_000,0.5560135364053941,0.0,5.089371180545431,3749242.750914659,50622215.61695685,73798,1321,Success
97,cq_000,0.5560135227336249,0.0,5.0893709994029255,3749243.149163934,50622215.68660106,73798,1321,Success
20,an_000,0.5399002718195759,0.0,4.880326013399825,2929650.022662353,35543415.15431165,73867,1322,Success
23,aq_000,0.5398882654943119,0.0,4.876653756793584,356087.4214328229,5643764.452830189,73924,1325,Success
14,ah_000,0.5398675488640322,0.0,4.877810216754547,1524339.3660451954,19042633.634164777,73857,1323,Success
65,bg_000,0.5386168417574839,0.0,4.863975669770437,1525398.1176438734,18992931.361573372,73867,1322,Success
21,ao_000,0.5362267084355141,0.0,4.830167726637527,2540448.629213787,30887750.588679247,73924,1325,Success
78,cc_000,0.5345929693347814,0.0,4.683590619970401,3116124.378061919,42305002.09281437,70544,1336,Success
68,bj_000,0.5342491710098692,0.0,4.805221184548972,386479.7632162762,7990734.150943397,73924,1325,Success
73,bx_000,0.5275259327931533,0.0,4.597485782360994,3381499.0070739,44881244.7260479,70541,1336,Success
22,ap_000,0.5258308122960317,0.0,4.703636486301276,796891.564731206,13449908.686838124,73867,1322,Success
74,by_000,0.5218696543328063,0.0,4.576062301480443,18347.781206530988,231016.76911871813,74047,1373,Success
66,bh_000,0.5122030472744948,0.0,4.537588793204687,48148.69373333153,652685.6308623299,73867,1322,Success
118,dn_000,0.5078510868365024,0.0,4.485173069450182,27518.411718474756,410198.7903103709,73798,1321,Success
139,ee_005,0.5034617843572567,0.0,4.3613793225411595,321723.34364452155,4661468.133235725,73771,1366,Success
54,ba_004,0.4999198748500656,0.0,4.315268824161618,170099.84848813558,2232321.8597516436,73750,1369,Success
90,cn_004,0.49294046328736324,0.0,4.235503322979277,1067040.7704135594,13779363.842220599,73750,1369,Success
53,ba_003,0.4830420085311302,0.0,4.124220041471252,227381.18416271187,2979447.272461651,73750,1369,Success
83,ck_000,0.4804877673155108,0.0,4.116918491012459,579712.6375325078,8552764.756096845,74213,1363,Success
