,column,correlation,p_value,cohens_d,group0_mean,group1_mean,group0_size,group1_size,message
81,ci_000,0.5533079501989714,0.0,5.199858206856826,2880633.964692528,39073777.756767675,58672,990,Success
60,bb_000,0.5427437088291435,0.0,5.125275322951013,3768984.153743407,50633627.04900938,58396,959,Success
72,bv_000,0.5415981341552968,0.0,5.110633716648539,3761695.4108070126,50418307.494780794,58351,958,Success
71,bu_000,0.5415981091897547,0.0,5.1106333832827495,3761694.9083648953,50418301.99791232,58351,958,Success
97,cq_000,0.5415980924355879,0.0,5.110633159563762,3761695.3896248564,50418302.11064718,58351,958,Success
70,bt_000,0.5374521967756603,0.0,4.998561056170509,49282.37716147781,662381.7057229525,58844,989,Success
0,aa_000,0.536978392513111,0.0,4.972105172054051,49169.767966101695,659173.664,59000,1000,Success
23,aq_000,0.5311345698860797,0.0,4.9716637095069975,356471.21287916374,5674575.797916667,58451,960,Success
68,bj_000,0.5252487326956142,0.0,4.895415667419292,387571.9287950591,7969733.81875,58451,960,Success
14,ah_000,0.5245905526281476,0.0,4.887188473402473,1528542.3663264606,18944426.41710115,58396,959,Success
20,an_000,0.5243573995687986,0.0,4.889331222703124,2938127.5525076627,35371629.71159875,58401,957,Success
65,bg_000,0.5228625397848673,0.0,4.870137815901433,1529644.497936679,18883423.25600836,58401,957,Success
21,ao_000,0.5198895389036876,0.0,4.826834901846422,2548079.593984705,30666854.925,58451,960,Success
78,cc_000,0.5197986496931494,0.0,4.686901739208484,3142581.684501183,41683801.95477904,55772,973,Success
22,ap_000,0.515725515010389,0.0,4.779344936386973,800266.5405044435,13446746.865203762,58401,957,Success
73,bx_000,0.5124029782763088,0.0,4.596161264163927,3411620.2183611263,44268789.2024666,55770,973,Success
74,by_000,0.5003278188215243,0.0,4.498431361271627,18499.638412383818,228798.2772772773,58528,999,Success
66,bh_000,0.49738485508897445,0.0,4.552121926345914,48251.917501412645,649347.1682340648,58401,957,Success
118,dn_000,0.49318634841554604,0.0,4.497138487466561,27594.468235334443,408397.0459290188,58351,958,Success
139,ee_005,0.487018714866058,0.0,4.34234136384735,322641.93945212057,4574310.637185929,58334,995,Success
54,ba_004,0.4787029973271326,0.0,4.243212382506967,171151.9654297277,2179399.9658634537,58316,996,Success
90,cn_004,0.4747220738556346,0.0,4.197638868226844,1074552.9739527067,13478007.052208835,58317,996,Success
83,ck_000,0.4667007908412345,0.0,4.130853458381089,582141.3733917371,8549207.69519192,58672,990,Success
53,ba_003,0.4602859071930086,0.0,4.034953790604029,228979.84343919336,2910353.5522088353,58316,996,Success
55,ba_005,0.452343086618016,0.0,3.94721490975602,158835.69318883325,1951624.0381526104,58316,996,Success
9,ag_005,0.44907479164161984,0.0,3.912008923487772,916925.1706238321,12320998.993975904,58333,996,Success
136,ee_002,0.44515461295588177,0.0,3.87128389283611,378309.2956423355,4384086.0663316585,58334,995,Success
103,cs_005,0.44286009977456,0.0,3.8446108618485404,1910549.9242993058,21260839.526104417,58335,996,Success
51,ba_001,0.43855631128098566,0.0,3.797699027524595,759659.7037862679,8766646.622489959,58316,996,Success
102,cs_004,0.43833511321706986,0.0,3.7959253322846456,325442.8570840833,7401404.425702811,58335,996,Success
7,ag_003,0.4338689451388211,0.0,3.7481609348551137,45406.65558088903,2617796.863453815,58333,996,Success
